S_no,Country,Tournament,Matches,Saves,Saves_per_game,Goals_conceded,Goals_conceded_per_game,Goals_scored,Goals_per_game,Avg_goal_advantage_per_game,Shots,Shots_per_game,Shots_on_target,shot_on_target_per_game,shorts_on_target_per_short,Fouls_comitted,Fouls_per_game,Fouls_Suffered,Fouls_suffered_per_game,Substitutions,Avg_substitution_per_game,Red Cards,Avg_red_card_per_game,Yellow Cards,Average_yellow_card_per_game,Average_half_time_goals,#_Top_4_finish,#_Top_2_finish,#_Winner,Points_after_group_stage
1,England,2018,7,15,2.142857143,5,0.714285714,14,2,1.285714286,78,11.14285714,32,4.571428571,0.41025641,64,9.142857143,74,10.57142857,8,2.666666667,0,0,5,0.714285714,0,2,1,1,6
2,Sweden,2018,7,19,2.714285714,5,0.714285714,5,0.714285714,0,63,9,19,2.714285714,0.301587302,93,13.28571429,100,14.28571429,9,3,0,0,8,1.142857143,0,4,1,0,6
3,Argentina,2018,6,9,1.5,10,1.666666667,9,1.5,-0.166666667,85,14.16666667,34,5.666666667,0.4,72,12,89,14.83333333,9,3,0,0,10,1.666666667,0,5,5,2,4
4,Uruguay,2018,6,17,2.833333333,0,0,10,1.666666667,1.666666667,83,13.83333333,29,4.833333333,0.34939759,66,11,69,11.5,9,3,0,0,2,0.333333333,0,5,2,2,9
5,Portugal,2018,7,16,2.285714286,10,1.428571429,12,1.714285714,0.285714286,112,16,38,5.428571429,0.339285714,95,13.57142857,96,13.71428571,9,3,0,0,8,1.142857143,0,2,0,0,5
6,France,2018,8,13,1.625,7,0.875,13,1.625,0.75,101,12.625,43,5.375,0.425742574,86,10.75,123,15.375,9,3,0,0,4,0.5,0,5,2,1,7
7,Brazil,2018,7,10,1.428571429,1,0.142857143,14,2,1.857142857,118,16.85714286,47,6.714285714,0.398305085,64,9.142857143,87,12.42857143,9,3,0,0,5,0.714285714,0,11,7,5,7
8,Spain,2018,7,9,1.285714286,8,1.142857143,15,2.142857143,1,91,13,27,3.857142857,0.296703297,84,12,94,13.42857143,9,3,0,0,4,0.571428571,0,2,1,1,5
9,Croatia,2018,7,17,2.428571429,6,0.857142857,9,1.285714286,0.428571429,79,11.28571429,23,3.285714286,0.291139241,108,15.42857143,95,13.57142857,9,3,0,0,14,2,0,1,0,0,9
10,Denmark,2018,7,22,3.142857143,1,0.142857143,5,0.714285714,0.571428571,84,12,31,4.428571429,0.369047619,103,14.71428571,64,9.142857143,8,2.666666667,0,0,6,0.857142857,0,0,0,0,5
11,Belgium,2018,7,11,1.571428571,3,0.428571429,20,2.857142857,1.285714286,130,18.57142857,56,8,0.430769231,77,11,40,5.714285714,8,2.666666667,0,0,5,0.714285714,0,1,0,0,9
12,Russia,2018,7,23,3.285714286,12,1.714285714,9,1.285714286,-0.428571429,54,7.714285714,18,2.571428571,0.333333333,104,14.85714286,70,10,9,3,1,0.142857143,8,1.142857143,0,1,0,0,6
13,Switzerland,2018,7,21,3,5,0.714285714,8,1.142857143,0.428571429,77,11,25,3.571428571,0.324675325,97,13.85714286,100,14.28571429,9,3,0,0,9,1.285714286,0,0,0,0,5
14,Mexico,2018,8,32,4,9,1.125,8,1,-0.125,139,17.375,43,5.375,0.309352518,83,10.375,113,14.125,9,3,0,0,7,0.875,0,0,0,0,6
15,Colombia,2018,6,13,2.166666667,4,0.666666667,8,1.333333333,0.666666667,63,10.5,17,2.833333333,0.26984127,72,12,83,13.83333333,9,3,1,0.166666667,5,0.833333333,0,0,0,0,6
16,Japan,2018,7,12,1.714285714,12,1.714285714,7,1,-0.714285714,79,11.28571429,29,4.142857143,0.367088608,99,14.14285714,99,14.14285714,9,3,0,0,8,1.142857143,0,0,0,0,4
